age,job,marital,education,default,housing,loan,contact,month,day_of_week,y
43,blue-collar,married,basic.9y,no,no,no,telephone,may,tue,no
44,blue-collar,married,basic.4y,unknown,yes,yes,telephone,may,tue,no
43,unknown,married,high.school,unknown,no,no,telephone,may,tue,no
29,admin.,single,basic.9y,unknown,no,no,telephone,may,tue,no
37,blue-collar,single,professional.course,no,no,no,telephone,may,tue,no
60,unknown,married,university.degree,no,no,no,telephone,may,tue,no
37,blue-collar,single,basic.6y,unknown,no,no,telephone,may,tue,no
51,technician,married,university.degree,no,yes,no,telephone,may,tue,no
34,services,married,high.school,no,no,no,telephone,may,tue,no
30,technician,divorced,professional.course,no,yes,no,telephone,may,tue,no
36,services,married,high.school,no,no,no,telephone,may,tue,no
36,blue-collar,single,basic.9y,unknown,no,no,telephone,may,tue,no
34,services,married,high.school,no,yes,yes,telephone,may,tue,no
37,technician,married,professional.course,no,no,no,telephone,may,tue,no
38,management,single,university.degree,no,no,no,telephone,may,tue,no
55,services,married,high.school,no,yes,no,telephone,may,tue,no
49,unknown,married,high.school,unknown,yes,no,telephone,may,tue,no
47,admin.,married,high.school,no,no,no,telephone,may,tue,yes
31,admin.,single,university.degree,no,yes,no,telephone,may,tue,no
56,retired,married,basic.4y,no,yes,yes,telephone,may,tue,no
35,entrepreneur,divorced,university.degree,no,no,no,telephone,may,tue,no
34,blue-collar,married,basic.9y,unknown,no,no,telephone,may,tue,no
29,self-employed,married,university.degree,unknown,yes,no,telephone,may,tue,no
57,blue-collar,married,basic.4y,unknown,no,no,telephone,may,tue,no
48,technician,married,basic.6y,no,no,yes,telephone,may,tue,no
53,self-employed,married,university.degree,no,no,yes,telephone,may,tue,no
37,admin.,married,high.school,no,no,no,telephone,may,tue,no
30,blue-collar,married,basic.4y,no,yes,no,telephone,may,tue,no
47,blue-collar,single,basic.4y,no,no,no,telephone,may,tue,no
26,technician,married,basic.6y,no,no,yes,telephone,may,tue,no
33,self-employed,married,high.school,no,yes,no,telephone,may,tue,no
43,blue-collar,married,high.school,unknown,yes,no,telephone,may,tue,no
29,blue-collar,single,unknown,no,no,no,telephone,may,tue,no
22,services,single,basic.9y,no,no,no,telephone,may,tue,no
51,retired,married,university.degree,no,yes,yes,telephone,may,tue,no
45,technician,married,basic.9y,unknown,no,no,telephone,may,tue,no
29,admin.,single,university.degree,no,no,no,telephone,may,tue,no
31,services,married,high.school,no,yes,no,telephone,may,tue,no
47,technician,married,professional.course,unknown,yes,no,telephone,may,tue,no
48,unemployed,married,basic.4y,no,yes,no,telephone,may,tue,no
38,technician,married,professional.course,no,yes,no,telephone,may,tue,no
50,blue-collar,single,basic.9y,unknown,yes,no,telephone,may,tue,no
31,admin.,married,high.school,no,yes,no,telephone,may,tue,no
27,admin.,divorced,high.school,no,no,no,telephone,may,tue,no
39,blue-collar,married,basic.4y,unknown,no,no,telephone,may,tue,no
35,admin.,married,basic.9y,no,no,no,telephone,may,tue,no
28,management,married,high.school,unknown,no,no,telephone,may,tue,no
34,entrepreneur,single,professional.course,no,no,no,telephone,may,tue,no
30,self-employed,married,basic.9y,no,no,no,telephone,may,tue,no
38,blue-collar,single,basic.9y,no,yes,no,telephone,may,tue,no
29,self-employed,married,basic.6y,unknown,yes,no,telephone,may,tue,no
35,blue-collar,divorced,basic.9y,unknown,no,no,telephone,may,tue,no
32,blue-collar,divorced,basic.4y,no,no,no,telephone,may,tue,no
33,management,married,university.degree,no,yes,no,telephone,may,tue,no
50,services,single,high.school,unknown,no,no,telephone,may,tue,no
57,management,divorced,university.degree,no,no,no,telephone,may,tue,no
31,blue-collar,married,basic.9y,no,no,no,telephone,may,tue,yes
37,technician,single,university.degree,no,yes,yes,telephone,may,tue,no
37,technician,single,university.degree,no,no,no,telephone,may,tue,no
42,technician,divorced,basic.9y,no,no,no,telephone,may,tue,no
39,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,tue,no
52,management,divorced,university.degree,no,no,no,telephone,may,tue,no
33,admin.,single,university.degree,no,no,no,telephone,may,tue,no
60,admin.,married,university.degree,unknown,no,no,telephone,may,tue,no
27,services,married,professional.course,no,no,no,telephone,may,tue,no
35,blue-collar,married,basic.9y,no,yes,no,telephone,may,tue,no
29,admin.,single,university.degree,no,no,yes,telephone,may,tue,no
31,blue-collar,single,high.school,no,yes,no,telephone,may,tue,no
53,blue-collar,married,basic.9y,unknown,no,no,telephone,may,tue,no
26,technician,married,professional.course,no,no,no,telephone,may,tue,no
38,admin.,married,high.school,no,unknown,unknown,telephone,may,tue,no
49,blue-collar,married,basic.6y,no,no,no,telephone,may,tue,no
35,technician,married,professional.course,no,no,no,telephone,may,tue,no
55,retired,divorced,high.school,unknown,yes,no,telephone,may,tue,no
44,unknown,single,basic.9y,unknown,yes,no,telephone,may,tue,no
37,blue-collar,married,professional.course,no,no,no,telephone,may,tue,no
39,unemployed,single,basic.9y,unknown,yes,no,telephone,may,tue,no
39,management,single,university.degree,no,yes,no,telephone,may,tue,yes
34,admin.,married,high.school,no,yes,no,telephone,may,tue,no
29,services,married,high.school,no,yes,no,telephone,may,tue,no
52,blue-collar,married,basic.9y,no,yes,no,telephone,may,tue,no
44,blue-collar,married,basic.4y,unknown,no,no,telephone,may,tue,no
55,management,married,university.degree,unknown,no,no,telephone,may,tue,no
53,admin.,single,basic.6y,no,yes,no,telephone,may,tue,no
32,management,single,university.degree,no,no,no,telephone,may,tue,no
43,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,tue,no
46,housemaid,married,basic.4y,no,yes,no,telephone,may,tue,no
52,management,divorced,university.degree,no,no,yes,telephone,may,tue,no
48,blue-collar,married,basic.9y,no,yes,no,telephone,may,tue,no
37,technician,married,professional.course,unknown,no,no,telephone,may,tue,no
32,blue-collar,married,professional.course,no,no,yes,telephone,may,tue,no
46,admin.,divorced,university.degree,no,yes,no,telephone,may,tue,no
28,services,married,high.school,no,yes,no,telephone,may,tue,no
31,admin.,married,university.degree,no,yes,no,telephone,may,tue,no
32,blue-collar,married,basic.9y,unknown,no,no,telephone,may,tue,no
44,admin.,married,unknown,no,no,no,telephone,may,tue,no
39,services,married,high.school,unknown,no,no,telephone,may,tue,no
29,services,single,professional.course,no,no,yes,telephone,may,tue,no
30,services,married,high.school,unknown,yes,yes,telephone,may,tue,no
30,management,married,basic.9y,no,yes,no,telephone,may,tue,no
39,technician,married,professional.course,no,no,no,telephone,may,tue,no
55,admin.,married,high.school,no,no,no,telephone,may,tue,no
28,blue-collar,single,basic.9y,no,no,no,telephone,may,tue,no
52,housemaid,married,basic.4y,no,no,no,telephone,may,tue,no
38,blue-collar,married,professional.course,no,yes,no,telephone,may,tue,no
34,services,married,high.school,unknown,no,no,telephone,may,tue,no
22,admin.,married,high.school,no,no,no,telephone,may,tue,no
31,entrepreneur,divorced,high.school,no,yes,no,telephone,may,tue,no
31,blue-collar,married,basic.9y,no,no,no,telephone,may,tue,no
33,self-employed,married,university.degree,no,no,no,telephone,may,tue,no
31,technician,married,professional.course,no,no,no,telephone,may,tue,no
34,blue-collar,single,high.school,no,no,yes,telephone,may,tue,no
30,technician,married,professional.course,no,yes,no,telephone,may,tue,no
29,admin.,married,high.school,no,yes,no,telephone,may,tue,no
50,services,married,basic.6y,no,no,no,telephone,may,tue,no
39,blue-collar,married,basic.6y,no,yes,no,telephone,may,tue,no
36,services,married,high.school,no,no,yes,telephone,may,tue,no
35,blue-collar,married,basic.4y,no,yes,no,telephone,may,tue,no
31,management,single,university.degree,unknown,yes,no,telephone,may,tue,no
28,self-employed,single,university.degree,no,no,no,telephone,may,tue,no
38,blue-collar,single,high.school,no,no,no,telephone,may,tue,no
47,blue-collar,married,high.school,unknown,no,no,telephone,may,tue,no
30,services,single,high.school,no,yes,no,telephone,may,tue,no
52,management,married,professional.course,no,yes,yes,telephone,may,tue,no
58,admin.,married,basic.9y,unknown,no,no,telephone,may,tue,no
28,blue-collar,married,basic.6y,no,yes,no,telephone,may,tue,no
52,management,married,professional.course,no,yes,no,telephone,may,tue,yes
45,blue-collar,divorced,basic.4y,no,no,no,telephone,may,tue,no
31,blue-collar,married,basic.9y,no,no,no,telephone,may,tue,no
28,blue-collar,single,basic.9y,no,yes,no,telephone,may,tue,no
34,blue-collar,married,basic.9y,unknown,no,yes,telephone,may,tue,no
48,blue-collar,married,high.school,unknown,yes,yes,telephone,may,tue,no
33,admin.,married,basic.9y,no,yes,no,telephone,may,tue,no
38,admin.,single,university.degree,no,no,no,telephone,may,tue,no
37,self-employed,divorced,high.school,no,no,no,telephone,may,tue,no
36,services,married,high.school,unknown,no,no,telephone,may,tue,no
30,management,married,basic.9y,no,yes,no,telephone,may,tue,no
59,entrepreneur,married,university.degree,unknown,yes,no,telephone,may,tue,no
40,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,tue,no
60,retired,married,university.degree,unknown,yes,no,telephone,may,tue,no
36,admin.,single,university.degree,no,no,no,telephone,may,tue,no
50,services,married,high.school,no,yes,no,telephone,may,tue,no
38,services,married,high.school,no,yes,no,telephone,may,tue,no
42,services,married,high.school,no,yes,no,telephone,may,tue,no
37,technician,single,university.degree,no,yes,no,telephone,may,tue,no
28,services,married,high.school,no,no,no,telephone,may,tue,no
32,services,married,high.school,no,yes,no,telephone,may,tue,no
49,admin.,divorced,high.school,no,yes,no,telephone,may,tue,no
32,blue-collar,married,high.school,unknown,no,no,telephone,may,tue,no
44,blue-collar,married,professional.course,no,no,no,telephone,may,tue,no
34,unknown,married,basic.4y,unknown,yes,no,telephone,may,tue,no
40,retired,married,professional.course,no,no,no,telephone,may,tue,no
42,admin.,married,high.school,no,yes,no,telephone,may,tue,no
31,technician,single,professional.course,no,yes,no,telephone,may,tue,no
25,admin.,married,unknown,no,no,no,telephone,may,tue,no
54,technician,married,basic.4y,no,no,no,telephone,may,tue,no
35,services,married,high.school,unknown,yes,no,telephone,may,tue,no
49,blue-collar,married,basic.9y,unknown,no,no,telephone,may,tue,no
34,admin.,single,university.degree,no,yes,no,telephone,may,tue,no
53,technician,married,professional.course,no,yes,yes,telephone,may,tue,no
27,technician,single,professional.course,no,yes,no,telephone,may,tue,no
57,management,divorced,high.school,no,no,no,telephone,may,tue,no
32,blue-collar,married,basic.9y,no,no,no,telephone,may,tue,no
38,blue-collar,single,basic.4y,no,unknown,unknown,telephone,may,tue,no
39,admin.,married,high.school,no,yes,no,telephone,may,tue,no
36,blue-collar,married,basic.9y,no,yes,no,telephone,may,tue,no
38,blue-collar,single,high.school,no,no,no,telephone,may,tue,no
50,services,married,professional.course,unknown,no,yes,telephone,may,tue,no
28,services,single,high.school,no,yes,yes,telephone,may,tue,no
26,technician,married,professional.course,no,yes,no,telephone,may,tue,no
34,blue-collar,married,basic.6y,unknown,no,yes,telephone,may,tue,no
53,technician,married,unknown,no,yes,no,telephone,may,tue,no
45,admin.,divorced,basic.9y,no,no,no,telephone,may,tue,no
50,blue-collar,married,basic.9y,no,yes,no,telephone,may,tue,no
46,admin.,divorced,university.degree,no,yes,no,telephone,may,tue,no
35,blue-collar,married,high.school,no,yes,no,telephone,may,tue,no
34,blue-collar,married,basic.9y,no,yes,no,telephone,may,tue,no
35,technician,single,university.degree,no,yes,no,telephone,may,tue,no
58,retired,married,professional.course,unknown,no,no,telephone,may,tue,no
34,blue-collar,married,basic.9y,no,no,yes,telephone,may,tue,no
24,unemployed,single,university.degree,no,no,yes,telephone,may,tue,no
26,services,single,basic.9y,no,yes,yes,telephone,may,tue,no
38,entrepreneur,married,university.degree,unknown,no,no,telephone,may,tue,no
39,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,tue,no
52,technician,married,professional.course,unknown,yes,no,telephone,may,tue,no
52,admin.,divorced,university.degree,no,no,no,telephone,may,tue,no
37,blue-collar,married,professional.course,no,no,no,telephone,may,tue,no
37,blue-collar,married,basic.4y,unknown,no,no,telephone,may,tue,no
29,blue-collar,married,high.school,unknown,no,no,telephone,may,tue,no
37,technician,married,university.degree,no,yes,no,telephone,may,tue,no
36,unemployed,single,basic.4y,unknown,yes,no,telephone,may,tue,no
39,services,married,high.school,unknown,yes,no,telephone,may,tue,no
43,admin.,married,high.school,no,no,yes,telephone,may,tue,no
30,self-employed,married,basic.9y,no,no,no,telephone,may,tue,yes
29,technician,married,professional.course,no,no,no,telephone,may,tue,no
34,technician,single,professional.course,no,no,yes,telephone,may,tue,no
51,management,divorced,university.degree,no,no,no,telephone,may,tue,no
48,management,divorced,university.degree,no,yes,no,telephone,may,tue,no
46,admin.,single,high.school,unknown,yes,no,telephone,may,tue,no
37,blue-collar,single,basic.9y,no,yes,no,telephone,may,tue,no
42,technician,single,high.school,no,no,no,telephone,may,tue,no
40,blue-collar,married,basic.6y,no,no,yes,telephone,may,tue,no
37,admin.,married,unknown,no,yes,no,telephone,may,tue,no
30,blue-collar,married,basic.9y,no,no,yes,telephone,may,tue,no
46,self-employed,married,university.degree,no,yes,no,telephone,may,tue,no
47,blue-collar,married,basic.4y,unknown,unknown,unknown,telephone,may,tue,no
60,retired,divorced,basic.4y,unknown,yes,no,telephone,may,tue,no
31,services,married,high.school,no,no,no,telephone,may,tue,no
43,admin.,married,high.school,no,no,no,telephone,may,tue,no
38,admin.,married,university.degree,no,no,no,telephone,may,tue,no
57,management,single,basic.9y,no,yes,no,telephone,may,tue,no
43,blue-collar,married,basic.4y,unknown,no,no,telephone,may,tue,no
55,technician,married,basic.6y,no,yes,no,telephone,may,tue,no
48,admin.,divorced,high.school,no,no,no,telephone,may,tue,no
41,technician,married,professional.course,no,no,no,telephone,may,tue,no
30,technician,married,high.school,no,yes,no,telephone,may,tue,no
38,technician,married,professional.course,unknown,yes,no,telephone,may,tue,no
32,admin.,single,high.school,no,yes,no,telephone,may,tue,no
42,management,married,basic.6y,unknown,yes,no,telephone,may,tue,no
34,technician,married,professional.course,no,yes,no,telephone,may,tue,no
35,blue-collar,married,basic.4y,unknown,no,no,telephone,may,tue,no
45,admin.,married,university.degree,unknown,yes,no,telephone,may,tue,no
35,admin.,married,basic.9y,no,no,no,telephone,may,tue,no
41,admin.,divorced,high.school,no,no,no,telephone,may,tue,no
34,management,married,university.degree,no,yes,no,telephone,may,tue,no
53,housemaid,married,basic.6y,no,unknown,unknown,telephone,may,tue,no
57,entrepreneur,married,university.degree,no,yes,no,telephone,may,tue,no
55,retired,married,high.school,no,yes,no,telephone,may,tue,no
52,blue-collar,married,basic.4y,no,yes,no,telephone,may,tue,no
30,blue-collar,divorced,basic.9y,no,no,no,telephone,may,tue,no
41,admin.,single,university.degree,no,no,no,telephone,may,tue,no
44,admin.,married,unknown,no,no,no,telephone,may,tue,no
37,blue-collar,married,basic.9y,no,no,no,telephone,may,tue,no
31,admin.,married,high.school,no,no,no,telephone,may,tue,no
30,admin.,married,university.degree,no,yes,no,telephone,may,tue,no
24,blue-collar,single,basic.9y,no,no,no,telephone,may,tue,no
31,blue-collar,single,high.school,no,no,yes,telephone,may,tue,no
38,blue-collar,married,basic.4y,no,yes,no,telephone,may,tue,no
25,entrepreneur,single,high.school,no,yes,no,telephone,may,tue,no
39,management,divorced,university.degree,no,yes,no,telephone,may,tue,no
46,unknown,married,basic.4y,unknown,no,no,telephone,may,tue,no
42,admin.,married,university.degree,unknown,no,no,telephone,may,tue,no
33,admin.,single,university.degree,no,yes,no,telephone,may,tue,no
28,management,married,university.degree,no,no,no,telephone,may,tue,no
40,blue-collar,married,basic.6y,no,yes,no,telephone,may,tue,no
33,admin.,divorced,high.school,no,yes,no,telephone,may,tue,no
48,blue-collar,divorced,basic.4y,unknown,no,no,telephone,may,tue,no
41,admin.,married,basic.9y,no,no,no,telephone,may,tue,no
37,blue-collar,married,basic.9y,unknown,no,no,telephone,may,tue,no
39,management,married,university.degree,no,no,no,telephone,may,tue,no
28,self-employed,single,basic.9y,no,yes,no,telephone,may,tue,no
55,admin.,married,high.school,unknown,no,no,telephone,may,tue,no
50,admin.,married,high.school,unknown,no,no,telephone,may,tue,no
31,entrepreneur,married,basic.6y,no,yes,no,telephone,may,tue,no
40,technician,married,professional.course,unknown,yes,no,telephone,may,tue,no
40,technician,married,professional.course,unknown,yes,no,telephone,may,tue,no
32,blue-collar,single,high.school,no,yes,no,telephone,may,tue,no
39,admin.,married,university.degree,no,yes,yes,telephone,may,tue,no
50,admin.,married,high.school,no,yes,no,telephone,may,tue,no
35,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,tue,no
50,services,single,basic.4y,no,yes,no,telephone,may,tue,no
24,blue-collar,single,basic.9y,no,yes,no,telephone,may,tue,no
45,technician,married,professional.course,no,yes,no,telephone,may,tue,no
56,technician,married,university.degree,unknown,yes,no,telephone,may,tue,no
33,unemployed,single,university.degree,no,yes,no,telephone,may,tue,no
43,admin.,married,high.school,no,no,no,telephone,may,tue,no
40,blue-collar,married,unknown,no,no,no,telephone,may,tue,no
42,housemaid,single,basic.4y,unknown,yes,no,telephone,may,tue,no
43,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,tue,no
45,admin.,married,basic.9y,no,yes,no,telephone,may,tue,no
47,services,married,university.degree,no,yes,no,telephone,may,tue,no
50,admin.,single,university.degree,no,no,no,telephone,may,tue,no
40,blue-collar,married,basic.6y,no,yes,no,telephone,may,tue,no
52,services,married,high.school,no,no,no,telephone,may,tue,no
28,admin.,single,high.school,no,no,no,telephone,may,tue,no
45,blue-collar,married,basic.6y,unknown,no,no,telephone,may,tue,yes
38,unemployed,divorced,high.school,no,no,no,telephone,may,tue,no
54,retired,married,basic.9y,unknown,no,no,telephone,may,tue,no
51,technician,married,basic.9y,no,yes,no,telephone,may,tue,no
29,admin.,married,basic.9y,no,yes,no,telephone,may,tue,no
35,admin.,married,university.degree,no,no,no,telephone,may,tue,no
57,retired,married,unknown,unknown,no,no,telephone,may,tue,no
37,technician,single,university.degree,no,yes,no,telephone,may,tue,no
39,services,married,high.school,no,no,no,telephone,may,tue,no
29,housemaid,married,university.degree,no,no,no,telephone,may,tue,no
56,admin.,divorced,high.school,no,yes,no,telephone,may,tue,no
41,services,married,high.school,no,no,no,telephone,may,tue,no
36,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,tue,no
39,services,single,high.school,unknown,yes,no,telephone,may,tue,no
50,self-employed,unknown,basic.6y,no,no,no,telephone,may,tue,no
52,management,divorced,university.degree,no,yes,no,telephone,may,tue,no
34,services,married,high.school,unknown,no,no,telephone,may,tue,no
30,entrepreneur,single,high.school,no,no,no,telephone,may,tue,no
39,admin.,married,university.degree,no,no,no,telephone,may,tue,no
35,admin.,single,professional.course,unknown,yes,no,telephone,may,tue,no
35,blue-collar,married,unknown,no,yes,no,telephone,may,tue,no
52,self-employed,married,basic.9y,unknown,yes,no,telephone,may,tue,no
53,services,divorced,university.degree,no,yes,no,telephone,may,tue,no
25,technician,single,university.degree,no,unknown,unknown,telephone,may,tue,no
27,admin.,divorced,high.school,no,yes,no,telephone,may,tue,no
30,services,married,university.degree,no,no,no,telephone,may,tue,no
29,blue-collar,married,high.school,no,yes,no,telephone,may,tue,no
35,blue-collar,married,basic.9y,no,no,no,telephone,may,tue,no
39,technician,married,professional.course,no,no,no,telephone,may,tue,no
28,admin.,single,high.school,no,yes,no,telephone,may,tue,no
40,blue-collar,married,high.school,unknown,no,no,telephone,may,tue,no
53,entrepreneur,single,basic.9y,no,no,no,telephone,may,tue,no
32,blue-collar,married,basic.9y,no,no,no,telephone,may,tue,no
36,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,tue,no
29,services,divorced,high.school,no,yes,no,telephone,may,tue,no
34,blue-collar,married,basic.9y,no,yes,no,telephone,may,tue,no
35,blue-collar,married,high.school,no,no,yes,telephone,may,tue,no
45,admin.,single,professional.course,no,no,no,telephone,may,tue,no
54,retired,married,basic.4y,unknown,no,no,telephone,may,tue,no
59,retired,divorced,basic.4y,no,no,no,telephone,may,tue,no
26,blue-collar,single,basic.9y,no,yes,no,telephone,may,tue,no
50,admin.,married,university.degree,no,no,yes,telephone,may,tue,no
48,admin.,single,basic.6y,unknown,yes,no,telephone,may,tue,no
33,management,married,university.degree,unknown,yes,no,telephone,may,tue,no
34,services,single,basic.9y,unknown,yes,yes,telephone,may,tue,no
45,unknown,married,unknown,unknown,no,no,telephone,may,wed,no
29,blue-collar,single,high.school,unknown,yes,no,telephone,may,wed,no
51,retired,married,professional.course,no,yes,yes,telephone,may,wed,no
39,housemaid,married,basic.4y,unknown,no,no,telephone,may,wed,no
25,technician,married,high.school,no,yes,no,telephone,may,wed,no
36,admin.,married,high.school,unknown,yes,no,telephone,may,wed,no
46,admin.,divorced,university.degree,unknown,yes,no,telephone,may,wed,no
39,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,wed,no
40,services,single,high.school,unknown,no,no,telephone,may,wed,no
29,services,married,high.school,no,yes,no,telephone,may,wed,no
35,services,married,high.school,no,no,no,telephone,may,wed,no
50,management,single,university.degree,no,unknown,unknown,telephone,may,wed,no
32,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,wed,no
49,services,divorced,high.school,no,no,no,telephone,may,wed,no
39,blue-collar,single,basic.4y,unknown,unknown,unknown,telephone,may,wed,no
56,services,married,high.school,unknown,no,no,telephone,may,wed,no
33,services,divorced,high.school,no,no,no,telephone,may,wed,no
47,admin.,married,university.degree,unknown,no,no,telephone,may,wed,no
32,management,married,university.degree,no,yes,no,telephone,may,wed,no
53,unknown,married,high.school,unknown,no,no,telephone,may,wed,no
38,technician,single,high.school,no,no,no,telephone,may,wed,no
41,technician,single,university.degree,unknown,no,no,telephone,may,wed,no
45,admin.,married,high.school,no,no,no,telephone,may,wed,no
42,technician,single,high.school,unknown,yes,no,telephone,may,wed,no
37,blue-collar,single,high.school,no,no,no,telephone,may,wed,no
29,admin.,single,basic.9y,unknown,yes,no,telephone,may,wed,no
52,admin.,divorced,university.degree,no,yes,no,telephone,may,wed,yes
47,admin.,married,university.degree,no,yes,no,telephone,may,wed,no
46,admin.,married,unknown,no,no,no,telephone,may,wed,no
45,blue-collar,divorced,basic.9y,no,yes,no,telephone,may,wed,no
35,admin.,single,high.school,no,yes,no,telephone,may,wed,no
33,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,wed,no
31,management,divorced,basic.6y,no,no,no,telephone,may,wed,no
35,blue-collar,married,basic.9y,no,no,no,telephone,may,wed,no
32,blue-collar,divorced,basic.9y,no,no,no,telephone,may,wed,no
33,technician,single,university.degree,no,no,yes,telephone,may,wed,no
39,technician,married,basic.6y,no,yes,no,telephone,may,wed,no
37,blue-collar,divorced,basic.9y,unknown,no,no,telephone,may,wed,no
49,blue-collar,married,basic.9y,no,yes,no,telephone,may,wed,no
45,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,wed,no
30,management,single,university.degree,no,no,no,telephone,may,wed,no
38,blue-collar,single,basic.9y,unknown,yes,no,telephone,may,wed,no
37,housemaid,married,high.school,no,no,no,telephone,may,wed,no
52,services,divorced,high.school,unknown,yes,no,telephone,may,wed,no
38,technician,single,professional.course,unknown,no,no,telephone,may,wed,no
52,entrepreneur,married,basic.9y,unknown,yes,no,telephone,may,wed,no
42,blue-collar,divorced,basic.4y,no,yes,yes,telephone,may,wed,no
57,admin.,divorced,basic.9y,no,no,no,telephone,may,wed,no
57,management,divorced,high.school,no,yes,no,telephone,may,wed,no
45,blue-collar,divorced,basic.4y,no,no,no,telephone,may,wed,no
34,admin.,single,high.school,no,yes,no,telephone,may,wed,no
37,admin.,divorced,university.degree,no,unknown,unknown,telephone,may,wed,no
39,blue-collar,single,professional.course,unknown,no,no,telephone,may,wed,no
39,self-employed,married,basic.4y,unknown,yes,no,telephone,may,wed,no
35,services,married,high.school,no,no,no,telephone,may,wed,no
50,services,married,high.school,no,yes,no,telephone,may,wed,no
56,retired,married,basic.4y,no,no,no,telephone,may,wed,no
38,blue-collar,married,basic.6y,no,no,no,telephone,may,wed,no
56,retired,married,university.degree,no,yes,no,telephone,may,wed,no
34,blue-collar,single,basic.9y,unknown,no,no,telephone,may,wed,yes
49,blue-collar,single,basic.4y,no,yes,no,telephone,may,wed,no
40,admin.,single,high.school,unknown,no,no,telephone,may,wed,no
41,entrepreneur,single,basic.4y,no,no,no,telephone,may,wed,no
32,admin.,single,university.degree,no,no,no,telephone,may,wed,no
43,blue-collar,single,basic.9y,no,yes,no,telephone,may,wed,no
53,technician,married,professional.course,no,yes,no,telephone,may,wed,no
31,admin.,married,high.school,no,no,no,telephone,may,wed,no
31,technician,single,university.degree,no,yes,no,telephone,may,wed,no
33,services,married,high.school,no,no,no,telephone,may,wed,no
43,blue-collar,married,basic.9y,no,yes,no,telephone,may,wed,no
34,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,wed,no
32,blue-collar,married,basic.6y,no,no,no,telephone,may,wed,no
46,blue-collar,married,basic.4y,unknown,yes,yes,telephone,may,wed,no
30,technician,married,professional.course,no,yes,yes,telephone,may,wed,no
53,blue-collar,married,basic.9y,no,yes,no,telephone,may,wed,no
36,admin.,divorced,university.degree,no,yes,no,telephone,may,wed,no
33,blue-collar,married,basic.9y,no,yes,no,telephone,may,wed,no
35,blue-collar,married,basic.6y,no,no,no,telephone,may,wed,no
33,services,married,basic.9y,unknown,yes,no,telephone,may,wed,no
36,blue-collar,single,high.school,no,yes,no,telephone,may,wed,no
41,services,married,high.school,no,yes,no,telephone,may,wed,no
59,technician,divorced,professional.course,no,no,no,telephone,may,wed,no
33,technician,married,basic.9y,no,no,no,telephone,may,wed,no
59,housemaid,married,basic.4y,no,yes,no,telephone,may,wed,no
35,management,married,professional.course,no,yes,yes,telephone,may,wed,no
60,technician,divorced,professional.course,unknown,no,no,telephone,may,wed,no
35,management,married,professional.course,no,no,no,telephone,may,wed,no
35,blue-collar,divorced,basic.4y,unknown,no,no,telephone,may,wed,no
59,retired,married,basic.4y,unknown,yes,yes,telephone,may,wed,no
25,self-employed,single,university.degree,no,no,no,telephone,may,wed,no
27,admin.,single,university.degree,no,yes,no,telephone,may,wed,no
37,blue-collar,single,basic.9y,no,no,no,telephone,may,wed,no
34,technician,married,university.degree,no,no,no,telephone,may,wed,no
34,technician,married,university.degree,no,no,yes,telephone,may,wed,no
33,self-employed,married,university.degree,no,yes,yes,telephone,may,wed,no
34,technician,married,university.degree,no,yes,no,telephone,may,wed,no
43,technician,single,professional.course,no,no,no,telephone,may,wed,no
41,management,married,high.school,no,no,no,telephone,may,wed,no
26,admin.,single,high.school,no,no,no,telephone,may,wed,no
37,blue-collar,married,professional.course,unknown,yes,no,telephone,may,wed,no
58,unknown,married,basic.4y,no,yes,no,telephone,may,wed,no
26,blue-collar,single,high.school,no,yes,no,telephone,may,wed,no
30,blue-collar,divorced,basic.9y,no,yes,no,telephone,may,wed,no
43,entrepreneur,divorced,high.school,no,yes,no,telephone,may,wed,no
37,self-employed,single,university.degree,unknown,yes,no,telephone,may,wed,no
45,services,married,high.school,unknown,yes,no,telephone,may,wed,no
34,technician,single,professional.course,no,no,no,telephone,may,wed,no
35,admin.,single,university.degree,no,no,no,telephone,may,wed,no
56,technician,married,basic.9y,no,yes,no,telephone,may,wed,no
34,admin.,single,high.school,no,yes,no,telephone,may,wed,no
34,admin.,single,high.school,no,no,yes,telephone,may,wed,no
47,admin.,married,high.school,no,no,yes,telephone,may,wed,no
34,admin.,divorced,university.degree,no,no,no,telephone,may,wed,no
57,blue-collar,divorced,basic.9y,no,yes,no,telephone,may,wed,yes
45,blue-collar,married,basic.4y,unknown,no,no,telephone,may,wed,no
30,services,married,high.school,no,no,no,telephone,may,wed,no
32,technician,single,university.degree,no,no,no,telephone,may,wed,no
34,blue-collar,single,university.degree,no,yes,yes,telephone,may,wed,no
34,blue-collar,single,university.degree,no,no,no,telephone,may,wed,no
